,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7226,IN,47448,130.0,1890.0,2520.0,7170.0,810.0,8000.0,41.0
7227,IN,47449,0.0,160.0,160.0,450.0,30.0,0.0,0.0
7228,IN,47451,0.0,300.0,490.0,1180.0,50.0,0.0,11.0
7229,IN,47452,70.0,1300.0,1470.0,4300.0,250.0,2238.0,49.0
7230,IN,47453,0.0,90.0,130.0,370.0,0.0,0.0,0.0
7231,IN,47454,80.0,1910.0,2460.0,6380.0,330.0,2768.0,92.0
7232,IN,47456,0.0,310.0,410.0,1160.0,50.0,520.0,7.0
7233,IN,47459,40.0,810.0,1190.0,3170.0,200.0,1092.0,32.0
7234,IN,47460,110.0,2940.0,3920.0,10260.0,650.0,5049.0,103.0
7235,IN,47462,60.0,1100.0,1620.0,4480.0,250.0,2639.0,32.0
7236,IN,47465,0.0,190.0,200.0,640.0,30.0,0.0,4.0
7237,IN,47468,20.0,300.0,420.0,1170.0,150.0,1232.0,8.0
7238,IN,47469,20.0,500.0,610.0,1570.0,70.0,597.0,28.0
7239,IN,47470,0.0,440.0,490.0,1390.0,70.0,0.0,11.0
7240,IN,47471,30.0,740.0,800.0,2360.0,150.0,777.0,28.0
7241,IN,47501,230.0,4370.0,5640.0,15910.0,1250.0,10115.0,119.0
7242,IN,47512,30.0,900.0,1120.0,3150.0,160.0,594.0,17.0
7243,IN,47513,20.0,650.0,660.0,1850.0,170.0,0.0,24.0
7244,IN,47514,0.0,90.0,120.0,320.0,0.0,0.0,0.0
7245,IN,47515,0.0,250.0,250.0,760.0,50.0,0.0,9.0
7246,IN,47516,0.0,370.0,410.0,1200.0,100.0,0.0,7.0
7247,IN,47519,0.0,180.0,140.0,530.0,60.0,0.0,0.0
7248,IN,47520,30.0,800.0,1040.0,2680.0,160.0,0.0,21.0
7249,IN,47521,0.0,370.0,320.0,960.0,170.0,0.0,11.0
7250,IN,47522,0.0,60.0,100.0,240.0,0.0,0.0,0.0
7251,IN,47523,60.0,1010.0,1140.0,3180.0,240.0,557.0,38.0
7252,IN,47524,0.0,110.0,140.0,450.0,20.0,0.0,4.0
7253,IN,47525,0.0,100.0,110.0,360.0,0.0,0.0,0.0
7254,IN,47527,30.0,660.0,590.0,1860.0,230.0,0.0,21.0
7255,IN,47528,0.0,180.0,210.0,610.0,50.0,0.0,4.0
7256,IN,47529,0.0,260.0,300.0,950.0,60.0,0.0,5.0
7257,IN,47531,0.0,350.0,320.0,930.0,80.0,0.0,6.0
7258,IN,47532,90.0,1560.0,1420.0,4310.0,740.0,2865.0,56.0
7259,IN,47537,0.0,240.0,260.0,770.0,50.0,0.0,7.0
